Riding winner loser Conservative Liberal Independent Labour Socialist Unknown
Prince-Albert Rutan,William-Windfield McKay,James 2194 2413 87 0 0 0
Prince-Edward Currie,Morley Alcorn,George-Oscar 2204 2341 0 0 0 0
Provencher Molloy,John-Patrick LaRivière,Alphonse-Alfred-Clément 2259 2719 0 0 0 0
Qu'Appelle Lake,Richard-Stuart BROWN,J.T. 3833 3781 0 0 0 0
Queen's Prowse,Lemuel-Ezra--and--Warburton,Alexander-Bannerman McLean,Angus-Alexander 4145 4290 0 0 0 4113
Quebec-County Turcotte,Joseph-Pierre Robitaille,Lorenzo 0 2139 1993 0 0 38
Quebec-Centre Lachance,Arthur CIMON,Hubert 1135 2049 0 0 0 0
Quebec-Est Laurier,Wilfrid FISET,Michel 1550 3764 0 0 0 0
Quebec-Ouest Price,William Power,William 1025 1015 0 0 0 0
Red-Deer Clark,Michael ROOT,George-F. 3221 3481 0 0 0 0
Regina Martin,William-Melville Wilkinson,Thomas 3544 4304 0 0 0 0
Renfrew-North White,Gerald-Verner BARR,Henry 2493 1894 0 0 0 0
Renfrew-South Low,Thomas-Andrew MACKAY,John 2031 2721 0 0 0 0
Restigouche Reid,James MOTT,William-Albert 1123 1256 0 0 0 0
Richelieu Lanctôt,Adélard MORGAN,Edward-A.D. 1448 2468 0 0 0 0
Richmond Kyte,George-William FERGUSON,Roderick 1039 1279 0 0 0 0
Richmond--Wolfe Tobin,Edmund-William CHAMPOUX,John 3051 3880 0 0 0 0
Rimouski Ross,Jean-Auguste Boulay,Herménégilde 3148 3737 0 0 0 0
Rouville Brodeur,Louis-Philippe None 0 1 0 0 0 0
Russell Murphy,Charles GAMBLE,John-A. 2470 3616 0 0 0 0
Saint-Antoine Ames,Herbert-Brown SMITH,Robert-Cooper 3538 2676 0 0 0 0
Saint-Hyacinthe Beauparlant,Aimé-Majorique CARTIER,Antoine-Paul 1768 2325 0 0 0 0
Saint-Jacques Gervais,Honoré-Hippolyte-Achille GIROUX,Napoléon 2468 3995 0 0 0 0
Saint-Jeans--Iberville Demers,Joseph LINDSAY,Pascal-Horace 131 2415 0 0 0 0
Saint-Laurent Bickerdike,Robert EKERS,Henry-A. 2721 3576 186 0 0 0
Saint-Anne Doherty,Charles-Joseph Walsh,Joseph-Charles 2881 2811 0 0 0 0
Saint-Marie Martin,Médéric Maréchal,L.-Théophile 2654 3523 0 0 0 0
Saltcoats MacNutt,Thomas MILLER,John-Charles 1842 2520 347 0 0 0
Saskatoon McCraney,George-Ewan MACINNES,Murdoch-Alex. 2168 3645 0 0 0 0
Selkirk Bradbury,George-Henry Jackson,Samuel-Jacob 2874 2776 0 0 0 0
Shefford Allen,Henry-Edgarton ROBINSON,William-H. 2158 2465 0 0 0 0
Shelburne-and-Queen's Fielding,William-Stevens MORINE,Alfred-Bishop 2145 2487 0 0 0 0
Sherbrooke-(Town-of) Worthington,Arthur-Norreys LEONARD,John 2117 1973 0 0 0 0
Simcoe-East Chew,Thomas-Edward-Manley Bennett,William-Humphrey 3153 3417 0 0 0 0
Simcoe-North Currie,John-Allister WILSON,Daniel 2756 2705 0 0 0 0
Simcoe-South Lennox,Haughton CAMPBELL,James 2830 1300 0 0 0 0
Soulanges Lortie,Joseph-Arthur Bourbonnais,Augustin 942 889 0 0 0 0
Souris Schaffner,Frederick-Laurence Damerla,Dipika 3310 2429 0 0 0 0
Stanstead Lovell,Charles-Henry PAIGE,George-Waldo 2048 2211 0 0 0 0
Stormont Smith,Robert Pringle,Robert-Abercrombie 2033 2383 658 0 0 0
Strathcona McIntyre,Wilbert DAY,Egarton-Winnett 2078 3130 1034 0 0 0
Sunbury--Queen's McLean,Hugh-Havelock Wilmot,Robert-Duncan 1899 1951 0 0 0 0
Terrebonne Nantel,Wilfrid-Bruno RINFRET,Thibaudeau 2592 2513 0 0 0 0
Thunder-Bay-and-Rainy-River Conmee,James Keefer,Francis-Henry 3321 4562 0 0 702 0
Toronto-Centre Bristol,Edmund-James ROBINETTE,T.C. 3482 3295 0 0 0 0
Toronto-East Russell,Joseph Kemp,Albert-Edward 3246 0 4039 0 0 0
Toronto-North Foster,George-Eulas SHAW,William-Henry 4398 4009 0 0 0 0
Toronto-South Macdonell,Angus-Claude O'DONOGHUE,John-G. 2771 0 0 1722 0 0
Toronto-West Osler,Edmund-Boyd DUTHIE,James-Hunter 4772 0 2419 0 0 0
Trois-Rivières-et-Saint-Maurice Bureau,Jacques PANNETON,Philippe-Elisée 1773 3139 0 0 0 0
Témiscouata Gauvreau,Charles-Arthur LEBEL,Luc 2362 3027 0 0 0 0
Vancouver-City Cowan,George-Henry McInnes,William-Wallace-Burns 4621 3039 2120 0 0 1194
Vaudreuil Boyer,Gustave-Benjamin MONTPETIT,Elzéar 655 1408 0 0 0 0
Victoria White,William-Henry MORRISON,Frederick-A. 2277 2647 0 0 0 0
Victoria Michaud,Pius KIRKPATRICK,Clarence-A. 728 2611 0 0 0 0
Victoria Hughes,Samuel WILSON,Archibald 4315 0 0 0 0 3277
Victoria-City Barnard,George-Henry Templeman,William 2179 2166 0 0 0 0
North-Cape-Breton-and-Victoria McKenzie,Daniel-Duncan McCormick,John 2832 2849 0 0 0 0
Waterloo-North King,William-Lyon-Mackenzie REID,Richard 3206 3469 50 0 0 0
Waterloo-South Clare,George-Adam MOYER,Sylvester 3015 2815 0 0 0 0
Welland German,William-Manley HANAN,George 3806 4449 0 0 0 0
Wellington-North Martin,Alexander-Munro Clarke,William-Aurelius 2567 2651 0 0 0 0
Wellington-South Guthrie,Hugh NEWSTEAD,John 3172 3873 0 0 0 0
Wentworth Sealey,William-Oscar PTOLEMY,William-Hall 2961 3307 0 0 0 0
Westmorland Emmerson,Henry-Robert SUMNER,Frederick-William 3662 5047 0 0 0 0
Winnipeg Haggart,Alexander CAMERON,Douglas-C. 8747 6729 0 0 1977 0
Wright Devlin,Emmanuel-Berchmans LABELLE,François-Amable-Albert 2851 3562 0 0 0 0
Yale--Cariboo Burrell,Martin Ross,Duncan 3413 2520 0 0 0 490
Yamaska Gladu,Joseph-Ernest-Oscar Ouimet,Joseph-Aldéric 1758 1846 0 0 0 0
Yarmouth Law,Bowman-Brown WILLIAMSON,Samuel-William 1446 2285 0 0 0 0
York Crocket,Oswald-Smith BROWN,Nelson-W. 3653 2784 0 0 0 0
York-Centre Wallace,Thomas-George McLean,Peter-Douglas 2614 2569 0 0 0 0
York-North Aylesworth,Allen-Bristol Armstrong,John-Alexander-Macdonald 2550 2856 0 0 0 0
York-South Maclean,William-Findlay None 0 0 1 0 0 0
Yukon Congdon,Frederick-Tennyson Black,George 265 992 0 0 0 726
