Riding winner loser Conservative Liberal Progressive United-Farmers-of-Alberta Liberal-Progressive Labour Independent Unknown
Lac-Saint-Jean Duguay,Joseph-Léonard Sylvestre,Armand 8387 8211 0 0 0 0 0 0
Lambton-East Sproule,John-Thomas Fansher,Burt-Wendell 6209 153 6196 0 0 0 0 0
Lambton-West Gray,Ross-Wilfred HANEY,Wilfred-Smith 7314 7868 0 0 0 0 0 0
Lanark Thompson,Thomas-Alfred Soper,Bert-H. 7064 5699 0 0 0 0 3937 0
Laprairie--Napierville Dupuis,Vincent Monette,Gustave 3968 4321 0 0 0 0 0 0
Last-Mountain Butcher,Harry Fansher,William-Russell 3563 5087 4250 0 0 0 0 0
Laurier--Outremont Mercier,Joseph-Alexandre FORTIER,Hector-Frédéric 7590 15259 0 0 0 0 1236 2723
Laval--Deux-Montagnes Sauvé,Arthur Lacombe,Liguori 6601 5634 0 0 0 0 0 0
Leeds Stewart,Hugh-Alexander MACLAREN,James-Roderick 9401 6256 0 0 0 0 0 0
Lethbridge Stewart,John-Smith KING,Thomas-Owen 4863 3779 3880 0 0 0 0 0
Lincoln Chaplin,James-Dew GREENWOOD,May-Louise 13474 7526 0 0 0 0 0 0
Lisgar Brown,John-Livingstone HEWITT,Robert-Thomas 4990 0 0 0 5162 0 0 0
London White,John-Franklin VINING,Jared 13981 9698 0 0 0 0 0 0
Long-Lake Cowan,Walter-Davy Johnston,John-Frederick 5577 5383 0 0 0 0 0 1516
Lotbinière Verville,Joseph-Achille LALIBERTÉ,Wilfrid 3863 5068 0 0 0 0 0 0
Lévis Fortin,Émile Dussault,Joseph-Étienne 7065 6880 0 0 0 0 0 0
Macdonald Weir,William-Gilbert WOODS,John-Ernest 5601 0 0 0 6100 0 0 0
Mackenzie Campbell,Milton-Neil MCLEAN,Allan-Grant 0 3502 6578 0 0 0 0 0
Macleod Coote,George-Gibson MATHESON,Joseph-Duncan 6105 0 0 6897 0 0 0 0
Maisonneuve Robitaille,Clément DESJARDINS,Hubert 13492 18894 0 0 0 0 1053 0
Maple-Creek Swanston,James-Beck Bock,William-George 7772 7215 0 0 0 0 0 2388
Marquette Mullins,Henry-Alfred Glen,James-Allison 8663 0 0 0 5979 0 0 0
Matane LaRue,Joseph-Ernest-Henri Dionne,Georges-Léonidas 7710 6975 0 0 0 0 0 0
Medicine-Hat Gershaw,Frederick-William BLACKSTOCK,Gilbert-McNeill 3109 6043 0 0 0 0 0 0
Melfort Weir,Robert McLean,Malcolm 8689 7367 0 0 0 0 0 1435
Melville Motherwell,William-Richard HART,George-Nelson 4041 6965 0 0 0 0 0 3221
Middlesex-East Boyes,Frank Ross,Duncan-Graham 7909 6231 0 0 0 0 0 0
Middlesex-West Elliott,John-Campbell CAMPBELL,Peter-Henry 4839 6329 0 0 0 0 0 0
Montmagny La-Vergne,Armand-Renaud Laflamme,Leo-Kemner 3857 3653 0 0 0 0 0 0
Moose-Jaw Beynon,William-Addison Ross,John-Gordon 9290 8351 0 0 0 0 0 0
Mount-Royal White,Robert-Smeaton ENGLAND,Grace-Ritchie 19932 6483 0 0 0 0 0 0
Muskoka--Ontario McGibbon,Peter MACDONALD,James-Dean 8828 5880 0 0 0 0 0 0
