Riding winner loser Unionist Opposition Independent Labour Unknown
Marquette Crerar,Thomas-Alexander HAMILTON,Frederick-Charles 8672 1152 0 0 0
Maskinongé Mayrand,Hormidas THIBODEAU,Adolphe-Joseph 0 2721 0 0 219
Matane Pelletier,François-Jean Boulay,Herménégilde 447 5010 0 0 0
Medicine-Hat Sifton,Arthur-Lewis-W. REILLY,Clifford-Bernardo 6869 3568 0 0 460
Middlesex-East Glass,Samuel-Francis ROSS,James-McCulloch 4212 2755 0 0 0
Middlesex-West Ross,Duncan-Campbell Elliott,George-Adam 3531 3930 0 0 0
Missisquoi Kay,William-Frederic ENGLAND,George-Provost 1444 2582 0 0 0
Montmagny Déchêne,Joseph-Bruno-Aimé-Miville La-Vergne,Armand-Renaud 36 2394 1343 0 0
Moose-Jaw Calder,James-Alexander SOMERVILLE,James 8866 2946 0 0 0
Muskoka McGibbon,Peter THOMAS,George-Henry-Oakwood 3457 1878 0 0 0
Mégantic Pacaud,Lucien-Turcotte None 0 1 0 0 0
Nanaimo McIntosh,John-Charles STEWART,Hector-Allen 9175 1976 0 1344 0
Neepawa Davis,Fred-Langdon MCGREGOR,Albert-Daniel 5102 2046 0 0 0
Nelson Campbell,John-Archibald None 1 0 0 0 0
New-Westminster McQuarrie,William-Garland McRae,Alexander-Duncan 7380 2882 0 0 0
Nicolet Trahan,Arthur None 0 1 0 0 0
Nipissing Harrison,Charles-Robert Lapierre,Edmond-Antoine 6411 6367 0 0 0
Norfolk Charlton,William-Andrew Wallace,John-Alexander 4544 3258 0 0 0
North-Battleford Long,Charles-Edwin COMERFORD,Charles 5630 3732 0 0 0
Northumberland Loggie,William-Stewart Morrissy,John-Veriker 4648 3601 0 0 0
Northumberland Munson,Charles-Arthur DUDLEY,Samuel-Drayton 6313 2916 0 0 0
Ontario-North Sharpe,Samuel-Simpson HOGG,Frederick 3123 1568 0 0 0
Ontario-South Smith,William Sinclair,William-Edmund-Newton 5205 2682 0 0 0
Ottawa-(City-of) Fripp,Alfred-Ernest--and--Chabot,John-Léo Laurier,Wilfrid 18547 13289 0 0 13077
Oxford-North Nesbitt,Edward-Walter Sutherland,Donald-Matheson 3836 3074 0 0 0
Oxford-South Sutherland,Donald Schell,Malcolm-Smith 4124 2812 0 0 0
Parkdale Mowat,Herbert-Macdonald MCCORMACK,Carson-Alexander-Viv 13306 3698 7736 0 0
Parry-Sound Arthurs,James HOCKEN,Norman-Cecil 5182 2043 0 0 0
Peel Charters,Samuel PETCH,Benjamin 4751 2499 0 0 0
Perth-North Morphy,Hugh-Boulton Rankin,James-Palmer 5977 4109 0 0 0
Perth-South Steele,Michael Forrester,William 2770 2713 0 0 0
Peterborough-East Sexsmith,John-Albert JOHNSTON,William-H. 2555 1389 0 0 0
Peterborough-West Burnham,John-Hampden Hall,Robert-Richard 6382 2964 0 0 0
Pictou McGregor,Alexander MACKAY,Robert-Hugh 6800 6043 0 0 0
Pontiac Cahill,Frank-S. BASTIEN,Joseph-David 1611 5548 0 0 0
Port-Arthur-and-Kenora Keefer,Francis-Henry DUNBAR,James-Asher 5990 2476 0 0 0
Portage-la-Prairie Meighen,Arthur SHIRTLIFF,Frederick 4611 976 0 0 0
Portneuf Delisle,Michel-Siméon None 0 1 0 0 0
Prescott Proulx,Edmond METCALFE,Andrew-Richard 1439 3743 0 0 0
Prince Read,Joseph Lefurgey,Alfred-Alexander 3974 4298 0 0 0
Prince-Albert Knox,Andrew MCLEOD,Samuel 6589 2999 0 0 0
Prince-Edward Hepburn,Bernard-Rickart Horsey,Henry-Herbert 3231 1755 0 0 0
Provencher Molloy,John-Patrick JOHNS,John-Robert 1850 2035 0 0 0
Qu'Appelle Thomson,Levi None 1 0 0 0 0
Queen's Nicholson,Donald--and--Sinclair,John-Ewen Martin,Alexander 5435 5377 0 0 5374
Quebec-County Lavigueur,Henri-Edgar BARNARD,Joseph-Édouard 546 4799 0 0 0
Quebec-Est Laurier,Wilfrid DROUIN,Ferdinand-Omer 562 6957 0 0 0
Quebec-Ouest Parent,Georges CHASSÉ,Henri 460 6392 0 0 0
Quebec-Sud Power,Charles-Gavan SCOTT,James-Archibald 2501 3816 0 0 0
Red-Deer Clark,Michael PUFFER,William-Franklin 6213 3800 0 701 0
Regina Cowan,Walter-Davy MACBETH,Andrew 10563 2599 0 0 0
Renfrew-North Mackie,Herbert-John REID,Norman 3397 2873 0 0 0
Renfrew-South Pedlow,Isaac-Ellis MARTIN,Lawrence-Thomas 3182 3245 0 0 0
Restigouche--Madawaska Michaud,Pius STEWART,David-Alexander 2271 5077 0 0 0
Richelieu Cardin,Pierre-Joseph-Arthur MORGAN,Edward-André-"D." 834 3355 0 0 0
Richmond--Wolfe Tobin,Edmund-William CROMBIE,Marcus-George 1634 6448 0 0 0
Rimouski D'Anjou,Joseph-Émile-Stanislas-Émmanuel None 0 1 0 0 0
Royal McLean,Hugh-Havelock SHARP,Fred-Ernest 5959 2834 0 0 0
Russell Murphy,Charles MERKLEY,Duncan-Cameron 3768 5895 0 0 0
St.-John--Albert Wigmore,Rupert-Wilson--and--Elkin,Stanley-Edward BRODERICK,William-Patrick 13611 5694 0 0 5530
Saint-Antoine Ames,Herbert-Brown Hushion,William-James 5663 2549 0 0 0
Saint-Denis Verville,Alphonse HOULE,Roméo 0 9708 0 0 878
Saint-Hyacinthe--Rouville Gauthier,Louis-Joseph None 0 1 0 0 0
Saint-Jacques Lapointe,Louis-Audet None 0 1 0 0 0
Saint-Jean--Iberville Demers,Joseph DORÉ,Pierre-Julien 363 4271 0 0 0
Saint-Laurent--Saint-Georges Ballantyne,Charles-Colquhoun MUNN,William-Clement 5806 2403 0 0 0
Saint-Anne Doherty,Charles-Joseph Guérin,James-John-Edmund 8346 4416 319 0 0
Saint-Marie Deslauriers,Hermas None 0 1 0 0 0
Saltcoats MacNutt,Thomas ROWAN,John 4618 1655 0 0 0
Saskatoon Wilson,James-Robert CASEY,James-William 9639 1833 0 0 0
Selkirk Hay,Thomas ADAMSON,John-Evans 5860 3045 0 0 0
Shefford Boivin,Georges-Henri None 0 1 0 0 0
Shelburne-and-Queen's Fielding,William-Stevens None 1 0 0 0 0
Sherbrooke-(Town-of) McCrea,Francis-N. DAVIDSON,William-Stewart 3409 4151 0 0 0
Simcoe-East Tudhope,James-Brockett Chew,Thomas-Edward-Manley 6669 3076 0 0 0
Simcoe-North Currie,John-Allister Gouin,Léon-Mercier 4240 2293 0 0 0
Simcoe-South Boys,William-Alves MITCHELL,John-Henry 5771 1157 0 0 0
Skeena Peck,Cyrus-Wesley Stork,Alfred 2806 2111 0 0 0
Souris Finley,Albert-Ernest None 1 0 0 0 0
Springfield Richardson,Robert-Lorne CHARETTE,Guillaume-Joseph 5870 3781 0 0 0
Stanstead Baldwin,Willis-Keith SHURTLEFF,William-Lewis 2346 3047 0 0 0
Strathcona Douglas,James-McCrie MODE,Allan-Thomas 5777 3178 0 0 0
Swift-Current Argue,Ira-Eugene REILLY,Michael-James 7703 3931 0 0 0
