Riding winner loser Conservative Liberal Independent Labour Socialist Nationalist Unknown
Lennox-and-Addington Paul,William-James VROOMAN,John-Perry 2580 1994 0 0 0 0 0
Lincoln Lancaster,Edward-Arthur LOVELACE,Edwin-John 4576 3023 0 0 0 0 0
Lisgar Sharpe,William-Henry GREENWAY,John-Franklin 1692 1672 0 0 0 0 0
London Beattie,Thomas MCEVOY,John-Millar 5263 0 0 0 0 0 3352
Lotbinière Fortier,Edmond LALIBERTÉ,Wilfrid 1520 1870 0 0 0 0 0
Lunenburg Stewart,Dugald Sperry,John-Drew 3645 3237 0 0 0 0 0
Lévis Bourassa,Joseph-Boutin BÉGIN,Joseph 1971 2800 0 0 0 0 0
Macdonald Staples,William-D. WOODS,James-Smith 2956 2795 0 0 0 0 0
Mackenzie Cash,Edward-L. LIVINGSTONE,Charles-Donald 1739 4090 0 0 0 0 0
Macleod Warnock,David Herron,John 2841 3660 902 0 0 0 0
Maisonneuve Verville,Alphonse VILLENEUVE,Eugène-Walter 9349 0 0 11538 0 0 0
Marquette Roche,William-James GRIERSON,George-Allison 3409 3283 0 0 0 0 0
Maskinongé Bellemare,Adélard Mayrand,Hormidas 0 1398 1507 0 0 0 0
Medicine-Hat Buchanan,William-Ashbury Magrath,Charles-Alexander 4875 6330 0 0 0 0 0
Middlesex-East Elson,Peter ROUTLEDGE,George-Albert 2477 1816 0 0 0 0 0
Middlesex-North Elliott,George-Adam Smith,Alexander-Wilson 1768 1715 0 0 0 0 0
Middlesex-West Ross,Duncan-Campbell COBBAN,James 1752 1883 0 0 0 0 0
Missisquoi Kay,William-Frederic Pickel,Follin-Horace 1800 2002 0 0 0 0 0
Montcalm Lafortune,David-Arthur MARION,Joseph-Eugène-Edmond 1374 1432 0 0 0 0 0
Montmagny L'Espérance,David-Ovide Béland,Henri-Sévérin 1653 1328 0 0 0 0 0
Montmorency Forget,Joseph-David-Rodolphe Parent,Georges 1359 1292 0 0 0 0 0
Moose-Jaw Knowles,William-Erskine RATHWELL,Samuel-K. 5953 8285 0 0 0 0 0
Muskoka Wright,William THOMAS,Geo.-Henry-Oakwood 2282 1262 0 0 0 0 0
Mégantic Pacaud,Lucien-Turcotte HUARD,Louis-Honoré 0 2986 0 0 0 0 2619
Nanaimo Shepherd,Francis-Henry Smith,Ralph 2438 1750 0 0 0 0 0
New-Westminster Taylor,James-Davis OLIVER,John 3542 1849 0 0 0 0 0
Nicolet Lamarche,Paul-Émile Turcotte,Gustave-Adolphe 2805 2721 0 0 0 0 0
Nipissing Gordon,George YOUNG,Alfred-James 5872 5327 0 0 0 0 0
Norfolk Charlton,William-Andrew McCall,Alexander 3061 3179 0 0 0 0 0
Northumberland Loggie,William-Stewart MORRISON,Donald 2736 3128 0 0 0 0 0
Northumberland-East Walker,Henry-Joseph WEATHERSON,Alexander 2518 2127 0 0 0 0 0
Northumberland-West Munson,Charles-Arthur McColl,John-B. 1426 1420 0 0 0 0 0
Ontario-North Sharpe,Samuel-Simpson Mowat,Herbert-Macdonald 2130 1572 0 0 0 0 0
Ontario-South Smith,William Fowke,Frederick-Luther 2917 2547 0 0 0 0 0
Ottawa-(City-of) Fripp,Alfred-Ernest--and--Chabot,John-Léo McGiverin,Harold-Buchanan 7062 6540 0 0 298 0 6892
Oxford-North Nesbitt,Edward-Walter WALLACE,James-Gamble 2603 2898 0 0 0 0 0
Oxford-South Sutherland,Donald Schell,Malcolm-Smith 2503 2479 0 0 0 0 0
Parry-Sound Arthurs,James MORRISON,George 2976 1918 0 0 0 0 0
Peel Blain,Richard LOWE,William-James 2656 2340 0 0 0 0 0
Perth-North Morphy,Hugh-Boulton Rankin,James-Palmer 3741 3244 0 0 0 0 0
Perth-South Steele,Michael McIntyre,Gilbert-Howard 2303 2221 0 0 0 0 0
Peterborough-East Sexsmith,John-Albert KERR,Francis-Dean 1992 1399 0 0 0 0 0
Peterborough-West Burnham,John-Hampden Stratton,James-Robert 2944 2902 0 0 0 0 0
Pictou Macdonald,Edward-Mortimer Bell,Adam-Carr 3937 4221 0 0 0 0 0
Pontiac Brabazon,Gerald-Hugh Cahill,Frank-S. 2059 1393 0 0 0 0 1166
Portage-la-Prairie Meighen,Arthur PATERSON,Robert 3267 2592 0 0 0 0 0
Portneuf Delisle,Michel-Siméon GRENIER,Honoré 2105 2868 0 0 0 0 0
Prescott Proulx,Edmond QUESNEL,Eugène-Grégoire 0 2532 0 0 0 1220 0
Prince Richards,James-William Murphy,Patrick-Charles 3414 3529 0 0 0 0 0
Prince-Albert McKay,James Rutan,William-Windfield 3316 2961 0 0 0 0 0
Prince-Edward Hepburn,Bernard-Rickart Currie,Morley 2304 2024 0 0 0 0 0
Provencher Molloy,John-Patrick BLEAU,Joseph-Alfred-Féréol 2668 3049 0 0 0 0 0
Qu'Appelle Thomson,Levi Lake,Richard-Stuart 3874 4298 0 0 0 0 0
