Riding winner loser Conservative Liberal Progressive United-Farmers-of-Alberta Labour Independent United-Farmers-of-Ontario Unknown
Macdonald Lovie,William-James ARGUE,Andrew-Starrat 2036 1035 5989 0 0 0 0 0
Mackenzie Campbell,Milton-Neil Clark,Michael 1338 3025 5381 0 1896 0 0 0
Macleod Coote,George-Gibson Shaw,Hugh-Murray 1767 922 6086 0 1407 0 0 0
Maisonneuve Robitaille,Clément TARDIF,Zoël 1944 14222 0 0 0 2133 0 151
Maple-Creek McTaggart,Neil-Haman WYLIE,David-James 3672 0 13344 0 0 0 0 0
Marquette Crerar,Thomas-Alexander DYER,Hugh-Marshall 0 553 9873 0 0 4307 0 0
Maskinongé Desrochers,Eugène Bellemare,Adélard 1991 4128 0 0 0 0 0 0
Matane Pelletier,François-Jean Boulay,Herménégilde 2252 8105 0 0 0 0 0 0
Medicine-Hat Gardiner,Robert Gershaw,Frederick-William 1135 2698 10295 0 0 0 0 0
Middlesex-East Hodgins,Archie-Latimer Glass,Samuel-Francis 3618 2648 4414 0 0 0 0 0
Middlesex-West Drummond,John-Douglas-Fraser Ross,Duncan-Campbell 2445 4004 5543 0 0 0 0 0
Missisquoi Kay,William-Frederic GIROUX,François-Xavier-Arthur 2740 5268 0 0 0 0 0 0
Montmagny Déchêne,Joseph-Bruno-Aimé-Miville COULOMBE,Télesphore 0 5103 0 0 0 1332 0 0
Moose-Jaw Johnson,Robert-Milton Knowles,William-Erskine 3857 5815 6744 0 0 0 0 0
Muskoka Hammell,William-James McGibbon,Peter 3517 0 3651 0 0 0 0 0
Mégantic Pacaud,Lucien-Turcotte BLONDIN,Alcide-Alphonse 0 8715 0 0 0 0 0 1749
Nanaimo Dickie,Charles-Herbert BOOTH,Thomas-Banks 6897 4159 0 0 3958 0 0 0
Neepawa Milne,Robert ROSS,Hugh-Robert 2147 0 7876 0 0 0 0 0
Nelson Bird,Thomas-William ROTHWELL,Benjamin-Edward 1319 0 2814 0 0 0 0 0
New-Westminster McQuarrie,William-Garland PETTIPIECE,Richard-Parmater 5520 3482 0 0 3699 0 0 0
Nicolet Trahan,Arthur PROULX,Fortunat 0 8298 2271 0 0 0 0 0
Nipissing Lapierre,Edmond-Antoine Harrison,Charles-Robert 5589 9886 3280 0 0 0 0 0
Norfolk Wallace,John-Alexander SUTTON,William 5451 0 6205 0 0 0 0 0
North-Battleford Davies,Claudius-Charles LIVINGSTON,William-Wellington 0 0 8786 0 0 0 0 4596
Northumberland Morrissy,John-Veriker MCCURDY,Edward-Adams 5285 6706 0 0 0 0 0 0
Northumberland Maybee,Milton-Edgar SLADE,Frederick-John 6849 1778 6073 0 0 0 0 0
Ontario-North Halbert,Robert-Henry MCKINNON,Neil-Donald 3772 0 0 0 0 0 3919 0
Ontario-South Clifford,Lawson-Omar Smith,William 4923 5102 3102 0 0 0 0 0
Ottawa-(City-of) McGiverin,Harold-Buchanan--and--Chevrier,Edgar-Rodolphe-Eugène Fripp,Alfred-Ernest 15829 22087 5302 0 0 0 0 0
Oxford-North Sinclair,Duncan-James Nesbitt,Edward-Walter 4053 4213 3857 0 0 0 0 0
Oxford-South Sutherland,Donald HALEY,Martin-Lee 4476 3135 3597 0 0 0 0 0
Parkdale Spence,David DOUGLAS,William 10705 5487 0 0 2723 0 0 0
Parry-Sound Arthurs,James MASON,William-Robert 3229 0 2784 0 0 3157 0 0
Peel Charters,Samuel LOWE,William-James 4892 3732 3350 0 0 0 0 0
Perth-North Rankin,James-Palmer Morphy,Hugh-Boulton 5274 6030 3425 0 0 0 0 0
Perth-South Forrester,William Steele,Michael 2948 3209 2908 0 0 0 0 0
Peterborough-East Brethen,George-Arthur Sexsmith,John-Albert 2296 1503 2647 0 0 0 0 0
Peterborough-West Gordon,George-Newcombe Burnham,John-Hampden 4732 6890 0 0 0 0 0 0
Pictou Macdonald,Edward-Mortimer Cantley,Thomas 7567 11125 0 0 1271 0 0 0
Pontiac Cahill,Frank-S. CAMPBELL,George-Benjamin 3800 11077 1760 0 0 0 0 0
Port-Arthur-and-Kenora Kennedy,Dougald Keefer,Francis-Henry 3627 3419 3681 0 0 0 0 0
Portage-la-Prairie Leader,Harry Meighen,Arthur 4137 0 4314 0 0 139 0 0
Portneuf Delisle,Michel-Siméon DUCHARME,C.-Romulus 1475 9021 665 0 0 0 0 0
Prescott Binette,Joseph Proulx,Edmond 0 2359 3661 0 0 2764 0 0
Prince MacLean,Alfred-Edgar MCNEIL,James-A. 4671 5930 2693 0 0 0 0 0
