FEDUID Riding Lib Con NDP Green BQ Ind
35042 Kenora 8188 9313 7781 1475 0 165
35043 King–Vaughan 28365 27454 4195 2460 0 0
35044 Kingston-and-the-Islands 30688 12808 15592 5867 0 0
35045 Kitchener-Centre 20014 13111 6093 14215 0 199
35046 Kitchener–Conestoga 20106 19833 5152 4889 0 0
35047 Kitchener-South–Hespeler 21051 17517 6900 5666 0 92
35048 Lambton–Kent–Middlesex 14638 28489 9213 3406 0 324
35049 Lanark–Frontenac–Kingston 14926 29405 8678 6770 0 0
35050 Leeds-Grenville-Thousand-Islands-and-Rideau-Lakes 15266 28435 8071 5049 0 0
35051 London–Fanshawe 14679 13636 22450 2750 0 297
35052 London-North-Centre 25496 14291 13924 4509 0 125
35053 London-West 30054 19718 15010 3767 0 524
35054 Markham–Stouffville 24743 19570 4013 1581 0 13216
35055 Markham–Thornhill 23826 15401 3248 1218 0 281
35056 Markham–Unionville 20019 25871 3393 2318 0 0
35057 Milton 29878 21236 3722 2392 0 0
35058 Mississauga-Centre 29472 15758 5025 1617 0 251
35059 Mississauga-East–Cooksville 27058 17237 4452 1530 0 178
35060 Mississauga–Erin-Mills 30894 19105 5149 2156 0 0
35061 Mississauga–Lakeshore 28994 22573 4979 2756 0 96
35062 Mississauga–Malton 27501 12448 5953 1218 0 320
35063 Mississauga–Streetsville 29058 19227 5955 2695 0 243
35064 Nepean 31098 22849 8852 4347 0 326
35065 Newmarket–Aurora 25957 23079 6418 3437 0 898
35066 Niagara-Centre 20109 17895 15358 2999 0 306
35067 Niagara-Falls 22079 24266 12264 3296 0 4913
35068 Niagara-West 16986 23973 6388 3495 0 93
35069 Nickel-Belt 18918 10281 15564 2611 0 0
35070 Nipissing–Timiskaming 18101 12332 9411 2926 0 0
35071 Northumberland–Peterborough-South 24706 27218 9482 5417 0 0
35072 Oakville 28668 24046 4807 3459 0 137
35073 Oakville-North–Burlington 32952 26229 5691 2844 0 0
35074 Oshawa 15592 23989 17531 3117 0 109
35075 Ottawa-Centre 36612 9519 22049 5498 0 342
35076 Orléans 43533 22697 9277 3727 0 0
35077 Ottawa-South 33433 15707 10130 3454 0 149
35078 Ottawa–Vanier 31487 10766 13034 4522 0 367
35079 Ottawa-West–Nepean 27599 16491 11401 3823 0 350
35080 Oxford 11621 29209 12188 4699 0 983
35081 Parkdale–High-Park 28408 7960 18777 3898 0 120
35082 Parry-Sound–Muskoka 16418 22676 6336 8274 0 376
35083 Perth–Wellington 14827 25504 8081 4882 0 733
35084 Peterborough–Kawartha 26979 24096 11698 4857 0 176
35085 Pickering–Uxbridge 32019 18320 7462 3711 0 0
35086 Renfrew–Nipissing–Pembroke 11326 30287 8587 3108 0 1111
35087 Richmond-Hill 21804 21692 4425 1695 0 126
35088 Carleton 31637 25934 6289 3302 0 0
35089 St.-Catharines 23817 18850 12252 3637 0 0
35090 Toronto–St.-Pauls 28646 11380 8238 3460 0 0
35091 Sarnia–Lambton 11824 28340 12372 2440 0 541
35092 Sault-Ste.-Marie 16084 13352 9317 1781 0 0
35093 Scarborough–Agincourt 20778 15376 3550 1028 0 0
35094 Scarborough-Centre 25424 10320 5329 2518 0 2518
35095 Scarborough–Guildwood 25797 9501 4687 1198 0 112
35096 Scarborough-North 20605 11746 4917 776 0 82
35097 Scarborough–Rouge-Park 31339 10088 5735 2324 0 353
35098 Scarborough-Southwest 28640 10421 7800 2428 0 233
35099 Simcoe–Grey 23372 32444 8320 8432 0 281
35100 Simcoe-North 19140 27112 8749 5820 0 337
