Riding winner loser Conservative Liberal Independent Patrons-of-Industry McCarthyites Unknown
Rouville Brodeur,Louis-Philippe FOURNIER,J.A. 870 1840 0 0 0 0
Russell Edwards,William-Cameron HURTIBISE,E.N. 1380 2983 1093 0 0 0
Saint-Antoine Roddick,Thomas-George Mackay,Robert 3077 2904 0 0 0 0
Saint-Hyacinthe Bernier,Michel-Esdras None 0 1 0 0 0 0
Saint-Jacques Desmarais,Odilon LAVALLÉE,Louis-Arsène 2054 3423 0 0 0 0
Saint-Jean--Iberville Béchard,François ROY,P.H. 1342 1849 0 0 0 0
Saint-Laurent Penny,Edward-Goff SMITH,R.W. 2915 3632 0 0 0 0
Saint-Anne Quinn,Michael-Joseph-Francis McShane,James 3071 2952 0 0 0 0
Saint-Marie Dupré,Hercule Lépine,Alphones-Télesphore 1967 3367 0 0 0 0
Saskatchewan-(Provisional-District) Laurier,Wilfrid McKay,James 944 988 213 0 0 0
Selkirk Macdonell,John-Alexander ARMSTRONG,Hugh 1712 1713 0 0 0 0
Shefford Parmelee,Charles-Henry PELTIER,P.J.I. 1726 2191 0 0 0 0
Shelburne-and-Queen's Forbes,Francis-Gordon Cahan,Charles-Hazlitt 1932 2130 0 0 0 0
Sherbrooke-(Town-of) Ives,William-Bullock Aylmer,Henry 1478 1221 0 0 0 0
Simcoe-East Bennett,William-Humphrey Cook,Herman-Henry 2775 2529 0 1197 0 0
Simcoe-North McCarthy,D'Alton STEWART,Elihu 875 1410 0 0 2517 0
Simcoe-South Tyrwhitt,Richard LENNOX,Thos.-W. 2146 0 0 1620 0 0
Soulanges Bourbonnais,Augustin LANTIER,Elzéar 861 1054 0 0 0 0
Stanstead Moore,Alvin-Head Rider,Timothy-Byron 2018 1583 0 0 0 0
Sunbury--Queen's King,George-Gerald Wilmot,Robert-Duncan 1599 1778 0 0 0 0
Terrebonne Chauvin,Léon-Adolphe PETIT,P.F.C. 1862 1734 0 0 0 0
Toronto-Centre Lount,William Cockburn,George-Ralph-Richardson 2154 2394 0 0 0 0
Toronto-East Robertson,John-Ross Coatsworth,Emerson 3012 0 4631 0 0 0
Toronto-West Osler,Edmund-Boyd Clarke,Edward-Frederick 5370 4734 0 0 0 4225
Trois-Rivières-et-Saint-Maurice Caron,Adolphe-Philippe FISET,Dr.-L.P. 1691 1422 0 0 0 0
Témiscouata Pouliot,Charles-Eugène Grandbois,Paul-Étienne 1604 2171 0 0 0 0
Vancouver McInnes,William-Wallace-Burns Haslam,Andrew 823 1020 0 0 0 647
Vaudreuil Harwood,Henry-Stanislas SÉGUIN,Aldéric 801 1296 0 0 0 0
Victoria Prior,Edward-Gawler--and--Earle,Thomas Templeman,William 1647 1452 0 0 0 1355
Victoria Costigan,John LAFOREST,Fred 1864 1318 0 0 0 0
Victoria Bethune,John-Lemuel CAMPBELL,S.C. 1049 877 0 0 0 0
Victoria-North Hughes,Samuel MCLAUGHLIN,R.J. 1715 1464 0 0 338 0
Victoria-South McHugh,George Vrooman,Adam-Edward 1989 2051 0 0 0 0
Waterloo-North Seagram,Joseph-Emm SNIDER,E.W.R. 2706 2397 0 0 0 0
Waterloo-South Livingston,James Clare,George-Adam 2454 2543 0 0 0 0
Welland McCleary,William Lowell,James-A. 2705 2536 0 0 0 0
Wellington-Centre Semple,Andrew LEWIS,F.W. 1295 1917 752 0 0 599
Wellington-North McMullen,James CLARKE,L.H. 2550 2712 0 0 0 0
Wellington-South Kloepfer,Christian Innes,James 2578 2440 0 0 0 0
Wentworth-North-and-Brant Somerville,James MUMA,Chas.-C. 703 1824 0 0 0 0
Wentworth-South Bain,Thomas PETTIT,Andrew-H. 2486 2673 0 0 0 0
West-Prince Hackett,Edward Perry,Stanislaus-Francis 1593 1548 0 0 0 321
West-Queen's Davies,Louis-Henry JENKINS,J.J. 1651 1985 0 0 0 0
Westmorland Powell,Henry-Absalom Robinson,Clifford-William 3442 3427 0 0 0 0
Winnipeg Macdonald,Hugh-John Martin,Joseph 2961 2835 0 0 0 0
Wright Devlin,Charles-Ramsay MCDOUGALL,J.M. 2593 2975 0 0 0 0
Yale--Cariboo Bostock,Hewitt Mara,John-Andrew 1479 1824 0 0 0 0
Yamaska Mignault,Roch-Moïse-Samuel Vanasse,Fabien 1324 1342 0 0 0 0
Yarmouth Flint,Thomas-Barnard BINGAY,Jacob 1196 1640 0 0 0 0
York Foster,George-Eulas ALLEN,Edmond-N. 3306 1764 0 0 0 0
York-East Maclean,William-Findlay FRANKLAND,Henry-R. 0 3904 3907 0 0 0
York-North Mulock,William Strange,Frederick-William 2036 2712 0 0 0 0
York-West Wallace,Nathaniel-Clarke Thompson,Lisa 5018 0 0 950 0 745
