FEDUID Riding Liberal Conservative NDP Green Bloc-Quebecois Independent
35056 Markham-Unionville 21958 18959 3001 1306 0 0
35057 Milton 28503 18313 4925 1280 0 0
35058 Mississauga-Centre 25719 13390 5331 863 0 0
35059 Mississauga-East-Cooksville 22806 14722 4678 0 0 329
35060 Mississauga-Erin-Mills 25866 17088 5178 829 0 0
35061 Mississauga-Lakeshore 25284 21761 5488 1265 0 0
35062 Mississauga-Malton 21766 12625 5771 811 0 0
35063 Mississauga-Streetsville 23698 17131 6186 1048 0 0
35064 Nepean 29620 22184 10786 1318 0 0
35065 Newmarket-Aurora 24208 21173 6338 1015 0 260
35066 Niagara-Centre 20576 18324 14086 1123 0 0
35067 Niagara-Falls 23650 26810 12871 1370 0 0
35068 Niagara-West 16815 25206 7064 1602 0 0
35069 Nickel-Belt 17353 13425 13137 848 0 0
35070 Nipissing-Timiskaming 18405 15104 10493 0 0 0
35071 Northumberland-Peterborough-South 23336 31015 9809 1764 0 0
35072 Oakville 28137 24430 5373 1090 0 0
35073 Oakville-North-Burlington 30910 25091 6574 1019 0 0
35074 Oshawa 13044 22409 16079 864 0 0
35075 Ottawa-Centre 33825 11650 24552 2115 0 132
35076 Orléans 39101 21700 10983 1233 0 0
35077 Ottawa-South 29038 15497 11514 1401 0 0
35078 Ottawa-Vanier 28462 11611 13703 1816 0 157
35079 Ottawa-West-Nepean 25889 16473 11163 1642 0 0
35080 Oxford 12720 29146 11325 1683 0 0
35081 Parkdale-High-Park 22307 6815 20602 957 0 0
35082 Parry-Sound-Muskoka 12014 26600 9339 3099 0 169
35083 Perth-Wellington 13684 26984 9552 0 0 0
35084 Peterborough-Kawartha 24664 27402 13302 1553 0 218
35085 Pickering-Uxbridge 27271 20976 7592 0 0 0
35086 Renfrew-Nipissing-Pembroke 11335 28967 12263 1111 0 373
35087 Richmond-Hill 21784 17715 3995 0 0 805
35088 Carleton 24298 35356 8164 1327 0 0
35089 St-Catharines 22069 19018 12294 1091 0 0
35090 Toronto-St-Pauls 26429 13587 9036 3214 0 0
35091 Sarnia-Lambton 10975 26292 11990 848 0 0
35092 Sault-Ste-Marie 15231 14984 8041 0 0 0
35093 Scarborough-Agincourt 20712 10630 3679 631 0 0
35094 Scarborough-Centre 23128 9819 5479 0 0 0
35095 Scarborough-Guildwood 22944 7998 5091 0 0 155
35096 Scarborough-North 21178 5999 3514 0 0 0
35097 Scarborough-Rouge-Park 28702 9628 6068 0 0 0
35098 Scarborough-Southwest 24823 8981 6924 1068 0 117
35099 Simcoe-Grey 21320 36249 10140 2969 0 0
35100 Simcoe-North 19332 27383 9958 1903 0 0
35101 Spadina-Fort-York 18991 9875 16834 1645 0 0
35102 Stormont-Dundas-South-Glengarry 12443 29255 5804 1230 0 0
35103 Sudbury 15871 12747 13569 940 0 111
35104 Thornhill 18168 25687 3041 844 0 0
35105 Thunder-Bay-Rainy-River 13655 11671 11342 571 0 0
35106 Thunder-Bay-Superior-North 16893 10035 11244 735 0 0
35107 Timmins-James-Bay 8508 9393 12132 0 0 0
35108 Toronto-Centre 23071 5571 11909 3921 0 0
35109 Toronto-Danforth 25214 6547 17555 1023 0 123
35110 University-Rosedale 22451 9473 11921 1974 0 0
35111 Vaughan-Woodbridge 21699 19019 3265 453 0 159
35112 Waterloo 26926 16528 11360 2038 0 0
35113 Wellington-Halton-Hills 18384 35257 7050 2606 0 0
35114 Whitby 27375 22271 8766 972 0 0
35115 Willowdale 21043 13916 4231 812 0 0
