Riding winner loser Conservative Liberal Independent Nationalist-Conservative Unknown
Saint-Maurice Desaulniers,François-Sévère-Lesieur Desaulniers,Louis-Léon-Lesieur 894 0 0 0 749
Saskatchewan-(Provisional-District) Macdowall,Day-Hort MONTGOMERY,H.J. 950 667 0 0 0
Selkirk Daly,Thomas-Mayne Martin,Joseph 3660 3225 0 0 0
Shefford Sanborn,John-Robbins SAVAGE,A.C. 1615 1792 0 0 0
Shelburne White,Nathaniel-Whitworth Robertson,Thomas 1388 1369 0 0 0
Sherbrooke-(Town-of) Ives,William-Bullock MILLIER,Clement 1118 803 0 0 0
Simcoe-East Spohn,Philip-Howard Bennett,William-Humphrey 2643 2850 0 0 0
Simcoe-North McCarthy,D'Alton Cook,Herman-Henry 0 2121 2417 0 0
Simcoe-South Tyrwhitt,Richard None 1 0 0 0 0
Soulanges Mousseau,Joseph-Octave Bain,James-William 895 0 934 0 0
Stanstead Rider,Timothy-Byron Colby,Charles-Carroll 1553 1655 0 0 0
Sunbury Wilmot,Robert-Duncan DAY,Geo.-E. 712 427 0 0 0
Terrebonne Chapleau,Joseph-Adolphe LIMOGES,M.D. 1830 1126 0 0 0
Toronto-Centre Cockburn,George-Ralph-Richardson Kerr,James-Kirkpatrick 2414 1912 0 0 0
Toronto-East Coatsworth,Emerson WHEELER,Alex-E. 3520 2056 0 0 0
Toronto-West Denison,Frederick-Charles MOWAT,Arthur 5048 3291 0 0 0
Trois-Rivières Langevin,Hector-Louis Polette,L.T. 682 482 0 0 0
Témiscouata Grandbois,Paul-Étienne DESCHÊNES,G.H. 1813 1615 0 0 0
Vancouver Gordon,David-William None 1 0 0 0 0
Vaudreuil Harwood,Henry-Stanislas McMillan,Hugh 989 1087 0 0 0
Verchères Geoffrion,Félix ARCHAMBAULT,A.M. 0 1108 0 0 940
Victoria Earle,Thomas--and--Prior,Edward-Gawler Templeman,William 1061 449 0 0 417
Victoria Costigan,John LAWSON,Thomas 1427 732 0 0 0
Victoria McDonald,John-Archibald Ross,William 822 770 0 0 0
Victoria-North Barron,John-Augustus Hughes,Samuel 1412 1614 0 0 0
Victoria-South Fairbairn,Charles WALTERS,Thomas 2055 2030 0 0 0
Waterloo-North Bowman,Isaac-Erb Kranz,Hugo 2204 2289 0 0 0
Waterloo-South Livingston,James Clare,George-Adam 1916 2228 0 0 0
Welland German,William-Manley Ferguson,John 2279 2726 0 0 0
Wellington-Centre Semple,Andrew HUNTER,Wm.-H. 2299 2455 0 0 0
Wellington-North McMullen,James CLARKE,L.H. 2300 2486 0 0 0
Wellington-South Innes,James GOLDIE,James 2134 2510 0 0 0
Wentworth-North Bain,Thomas WARDELL,Alex-R. 1317 1517 0 0 0
Wentworth-South Carpenter,Franklin-Metcalfe MIDDLETON,Jas.-T. 1773 1772 0 0 0
Westmorland Wood,Josiah GEORGE,Wm.-F. 4205 2057 0 0 0
Winnipeg Macdonald,Hugh-John CAMPBELL,Isaac 2131 1622 0 0 0
Yale Mara,John-Andrew None 1 0 0 0 0
Yamaska Mignault,Roch-Moïse-Samuel VERTEFEUILLE,F.V. 1229 1399 0 0 0
Yarmouth Flint,Thomas-Barnard Kinney,Joseph-Robbins 0 1732 0 0 1157
York Temple,Thomas Thompson,Frederick-Pemberton 2048 1821 0 0 0
York-East Mackenzie,Alexander Maclean,William-Findlay 0 3003 2977 0 0
York-North Mulock,William PEGG,W.W. 1968 2331 0 0 0
York-West Wallace,Nathaniel-Clarke CLEMENT,W.H.P. 3434 2628 0 0 0
